benchmark,max_path,sum,old_filtered,beats_old
05,41.9473,80.0518,43.3584,yes
113,1.8049,1.1973,2.0540,yes
12,3.1831,2.1639,2.2352,yes
14,2.1402,2.9143,3.7518,yes
18,131.5790,94.1163,126.0520,yes
22,27.5441,15.7855,189.0510,yes
26,60.8732,23.3669,126.2720,yes
33,138.6110,132.6520,18.0783,no
35,15.6130,45.8231,44.2297,yes
45,1.1728,0.9857,1.4352,yes
bin_eventlogadm_vc331203,6.9753,3.5342,3.1102,no
bin_eventlogadm_vc331205,13.5117,9.4531,2.3151,no
bin_eventlogadm_vc351368,9.4264,3.6570,14.7585,yes
bin_eventlogadm_vc351388,14.9165,3.9518,25.1059,yes
bin_eventlogadm_vc352367,9.1524,6.7575,18.2023,yes
bin_libsmbsharemodes_vc4818,21.4659,5.6518,4.0838,no
compose.s2._bit8_na6_nr3_paired,7.9980,7.3926,2.5931,no
compose.s2._bit8_na6_nr4_paired,4.3047,2.7595,5.3224,yes
mobiledevice_bit8_na6_nr3_paired,7.3029,3.8155,4.7020,yes
src_wget_vc18516,1.4414,6.2522,1.8662,yes
string1x8.10._bit8_na6_nr3_paired,263.7280,119.7770,96.4748,no
string1x8.2._bit8_na6_nr3_paired,622.3900,163.2110,238.4550,yes
string1x8.3._bit8_na6_nr3_paired,81.4184,88.4847,33.7927,no
string1x8.4._bit8_na6_nr3_paired,137.4080,26.1938,54.0209,yes
string1x8.7._bit8_na6_nr3_paired,126.4140,368.1620,125.8760,no
