benchmark,input,smt_to_ll_seconds,slot_generation_seconds,chain_generation_seconds,first_generation_seconds,last_generation_seconds,random_generation_seconds,all-bfs_generation_seconds,all-dfs_generation_seconds,slot_solver_time,chain_solver_time,first_solver_time,last_solver_time,random_solver_time,all-bfs_solver_time,all-dfs_solver_time,slot_total_seconds,chain_total_seconds,first_total_seconds,last_total_seconds,random_total_seconds,all-bfs_total_seconds,all-dfs_total_seconds
05,,,,6.622,,,,,,41.2504,80.0518,155.131,82.0949,13.4026,77.6835,73.0946,,,,,,,
113,,,,27.503,,,,,,0.467148,1.19735,6.68439,3.91493,3.77549,5.03278,3.65394,,,,,,,
12,,,,2.917,,,,,,1.04553,2.16393,3.98259,5.50023,2.48131,6.58471,4.6653,,,,,,,
14,,,,8.825,,,,,,1.20639,2.91425,9.17601,4.583,5.01228,5.77785,5.31676,,,,,,,
18,,,,11.049,,,,,,650.013,94.1163,212.644,147.77,60.9159,70.811,46.5954,,,,,,,
22,,,,10.598,,,,,,572.429,15.7855,227.243,340.868,126.534,272.661,536.625,,,,,,,
26,,,,6.337,,,,,,126.166,23.3669,37.0162,46.1414,19.6293,13.139,28.706,,,,,,,
33,,,,9.315,,,,,,54.449,132.652,51.8698,5.17823,2.8278,14.8608,18.5946,,,,,,,
35,,,,14.733,,,,,,32.6655,45.8231,66.3431,18.5983,12.4052,52.9977,28.7435,,,,,,,
45,,,,4.914,,,,,,0.935036,0.985721,5.28219,5.99854,5.6722,5.10566,7.12216,,,,,,,
bin_eventlogadm_vc331203,,,,1.524,,,,,,11.2294,3.53418,3.80651,7.6317,5.81791,17.537,9.60408,,,,,,,
bin_eventlogadm_vc331205,,,,1.537,,,,,,6.95968,9.45313,2.93626,2.80795,2.95345,8.47926,9.17685,,,,,,,
bin_eventlogadm_vc351368,,,,3.148,,,,,,2.74733,3.65705,1.44352,1.53525,13.8822,23.4971,19.5121,,,,,,,
bin_eventlogadm_vc351388,,,,3.526,,,,,,2.62932,3.95177,2.53735,2.42289,26.6436,39.4485,34.7431,,,,,,,
bin_eventlogadm_vc352367,,,,3.37,,,,,,4.62526,6.75753,1.53211,0.996261,16.1833,18.8978,13.5757,,,,,,,
bin_libsmbsharemodes_vc4818,,,,3.653,,,,,,11.0829,5.65184,0.835921,0.580915,5.89992,8.22942,8.21875,,,,,,,
compose.s2._bit8_na6_nr3_paired,,,,3.265,,,,,,49.6064,7.39262,8.20206,4.90133,10.1003,13.2277,19.3549,,,,,,,
compose.s2._bit8_na6_nr4_paired,,,,5.685,,,,,,25.5123,2.75945,7.70138,12.157,16.6546,24.6285,23.6722,,,,,,,
mobiledevice_bit8_na6_nr3_paired,,,,1.03,,,,,,27.8064,3.81554,7.5742,7.85789,16.0613,14.288,14.1437,,,,,,,
src_wget_vc18516,,,,0.114,,,,,,3.56268,6.25224,7.73645,8.67649,4.38625,8.58618,7.82388,,,,,,,
string1x8.10._bit8_na6_nr3_paired,,,,1.626,,,,,,650.061,119.777,104.282,44.8795,730.99,10.1653,97.9541,,,,,,,
string1x8.2._bit8_na6_nr3_paired,,,,2.924,,,,,,650.018,163.211,299.901,188.056,533.013,139.41,38.1392,,,,,,,
string1x8.3._bit8_na6_nr3_paired,,,,1.076,,,,,,117.246,88.4847,34.7222,11.0776,66.6849,46.1792,102.593,,,,,,,
string1x8.4._bit8_na6_nr3_paired,,,,0.552,,,,,,46.1832,26.1938,93.4183,132.242,117.943,27.3183,122.963,,,,,,,
string1x8.7._bit8_na6_nr3_paired,,,,0.57,,,,,,315.672,368.162,136.101,177.432,302.617,76.4404,141.268,,,,,,,
