benchmark,input,smt_to_ll_seconds,slot_generation_seconds,chain_generation_seconds,first_generation_seconds,last_generation_seconds,random_generation_seconds,all-bfs_generation_seconds,all-dfs_generation_seconds,slot_solver_time,chain_solver_time,first_solver_time,last_solver_time,random_solver_time,all-bfs_solver_time,all-dfs_solver_time,slot_total_seconds,chain_total_seconds,first_total_seconds,last_total_seconds,random_total_seconds,all-bfs_total_seconds,all-dfs_total_seconds
05,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/05.smt2,22.106,5.563,6.714,8.098,8.092,8.095,15.937,16.121,41.2504,23.7818,155.131,82.0949,13.4026,77.6835,73.0946,68.9194,52.6018,185.335,112.293,43.6036,115.72649999999999,111.3216
113,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/113.smt2,28.975,27.297,26.564,33.564,33.355,33.442,27.988,28.573,0.467148,0.409177,6.68439,3.91493,3.77549,5.03278,3.65394,56.7391,55.9482,69.2234,66.2449,66.1925,61.99578,61.20194
12,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/12.smt2,10.719,2.607,2.895,3.048,2.932,2.501,3.311,3.274,1.04553,0.550204,3.98259,5.50023,2.48131,6.58471,4.6653,14.3715,14.1642,17.7496,19.1512,15.7013,20.61471,18.658299999999997
14,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/14.smt2,18.531,8.044,9.125,11.14,10.855,11.122,12.441,11.871,1.20639,1.97856,9.17601,4.583,5.01228,5.77785,5.31676,27.7814,29.6346,38.847,33.969,34.6653,36.74985,35.71876
18,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/18.smt2,28.859,9.497,10.879,12.73,12.684,13.207,21.955,21.618,650.013,79.5797,212.644,147.77,60.9159,70.811,46.5954,688.369,119.318,254.233,189.313,102.982,121.625,97.0724
22,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/22.smt2,28.871,10.005,10.369,13.243,12.534,12.642,22.314,21.587,572.429,34.3458,227.243,340.868,126.534,272.661,536.625,611.305,73.5858,269.357,382.273,168.047,323.846,587.083
26,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/26.smt2,22.17,5.612,6.7,7.659,7.531,8.034,16.198,16.228,126.166,56.6536,37.0162,46.1414,19.6293,13.139,28.706,153.948,85.5236,66.8452,75.8424,49.8333,51.507000000000005,67.104
33,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/33.smt2,21.665,9.133,9.84,11.384,11.814,11.321,17.513,14.109,54.449,171.807,51.8698,5.17823,2.8278,14.8608,18.5946,85.247,203.312,84.9188,38.6572,35.8138,54.038799999999995,54.3686
35,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/35.smt2,28.421,13.455,15.061,17.505,18.252,18.427,25.137,25.548,32.6655,59.6943,66.3431,18.5983,12.4052,52.9977,28.7435,74.5415,103.176,112.269,65.2713,59.2532,106.5557,82.71249999999999
37,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/37.smt2,29.078,11.823,13.249,13.19,13.186,13.18,23.751,23.724,284.685,355.17,187.036,274.136,117.362,62.9654,243.564,325.586,397.497,229.304,316.4,159.62,115.7944,296.366
45,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/45.smt2,13.53,4.74,4.924,5.437,5.349,5.525,6.708,5.535,0.935036,1.14926,5.28219,5.99854,5.6722,5.10566,7.12216,19.205,19.6033,24.2492,24.8775,24.7272,25.34366,26.18716
