benchmark,input,slot_total_seconds,depth_total_seconds,max_chain_total_seconds,sum_total_seconds,depth_both_sides_total_seconds,lowest_value,lowest_column,depth_better_than_slot,max_chain_better_than_slot,sum_better_than_slot,depth_both_sides_better_than_slot,max_chain_better_than_depth,sum_better_than_depth,depth_both_sides_better_than_depth,sum_better_than_max_chain,depth_both_sides_better_than_max_chain,sum_better_than_depth_both_sides
05,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/05.smt2,68.9194,51.3234,50.6528,52.6018,71.8534,50.6528,max_chain_total_seconds,true,true,true,false,true,false,false,false,false,true
113,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/113.smt2,56.7391,56.2047,57.6607,55.9482,61.692,55.9482,sum_total_seconds,true,false,true,false,false,true,false,true,false,true
12,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/12.smt2,14.3715,14.3056,14.2677,14.1642,15.8372,14.1642,sum_total_seconds,true,true,true,false,true,true,false,true,false,true
14,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/14.smt2,27.7814,29.5563,29.5135,29.6346,30.7368,27.7814,slot_total_seconds,false,false,false,false,true,false,false,false,false,true
18,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/18.smt2,688.369,120.616,114.637,119.318,165.568,114.637,max_chain_total_seconds,true,true,true,true,true,true,false,false,false,true
22,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/22.smt2,611.305,74.6777,71.9008,73.5858,228.741,71.9008,max_chain_total_seconds,true,true,true,true,true,true,false,false,false,true
26,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/26.smt2,153.948,73.4689,88.3654,85.5236,154.891,73.4689,depth_total_seconds,true,true,true,false,false,false,false,true,false,true
33,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/33.smt2,85.247,197.132,222.154,203.312,49.4203,49.4203,depth_both_sides_total_seconds,false,false,false,true,false,false,true,true,true,false
35,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/35.smt2,74.5415,108.017,92.6513,103.176,87.7857,74.5415,slot_total_seconds,false,false,false,false,true,true,true,false,true,false
37,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/37.smt2,325.586,408.269,404.613,397.497,244.293,244.293,depth_both_sides_total_seconds,false,false,false,true,true,true,true,true,true,false
45,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/45.smt2,19.205,19.7423,19.1118,19.6033,20.0072,19.1118,max_chain_total_seconds,false,true,false,false,true,true,false,false,false,true
54,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/54.smt2,232.479,245.905,257.957,240.529,126.7,126.7,depth_both_sides_total_seconds,false,false,false,true,false,true,true,true,true,false
bin_eventlogadm_vc331203,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331203.smt2,22.4264,16.7475,19.1056,18.1425,15.8252,15.8252,depth_both_sides_total_seconds,true,true,true,true,false,false,true,true,true,false
bin_eventlogadm_vc331205,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331205.smt2,18.5827,22.2507,22.5241,22.7427,15.4371,15.4371,depth_both_sides_total_seconds,false,false,false,true,false,false,true,false,true,false
bin_eventlogadm_vc331206,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331206.smt2,13.9461,19.1422,16.8947,18.3094,12.7772,12.7772,depth_both_sides_total_seconds,false,false,false,true,true,true,true,false,true,false
bin_eventlogadm_vc351368,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351368.smt2,23.8913,33.199,38.6864,33.2694,38.9875,23.8913,slot_total_seconds,false,false,false,false,false,false,false,true,false,true
bin_eventlogadm_vc351388,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351388.smt2,27.3323,38.0723,34.2683,41.0671,53.8979,27.3323,slot_total_seconds,false,false,false,false,true,false,false,false,false,true
bin_eventlogadm_vc352367,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc352367.smt2,25.7263,30.1502,29.2152,31.956,42.7863,25.7263,slot_total_seconds,false,false,false,false,true,false,false,false,false,true
bin_libsmbsharemodes_vc4818,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc4818.smt2,36.3929,35.4127,36.6608,36.4119,33.3118,33.3118,depth_both_sides_total_seconds,true,false,false,true,false,false,true,true,true,false
compose.s2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr3_paired.smt2,103.6,63.7354,65.7065,63.8131,60.4511,60.4511,depth_both_sides_total_seconds,true,true,true,true,false,false,true,true,true,false
