benchmark,input,slot_solver_time,depth_solver_time,maxchain_solver_time,sum_solver_time,depthbothsides_solver_time,lowest_value,lowest_column,depth_better_than_slot,maxchain_better_than_slot,sum_better_than_slot,depthbothsides_better_than_slot,maxchain_better_than_depth,sum_better_than_depth,depthbothsides_better_than_depth,sum_better_than_maxchain,depthbothsides_better_than_maxchain,sum_better_than_depthbothsides
05,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/05.smt2,41.2504,22.5324,21.8088,23.7818,29.2406,21.8088,maxchain_solver_time,true,true,true,true,true,false,false,false,false,true
113,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/113.smt2,0.467148,0.364706,0.400743,0.409177,0.374897,0.364706,depth_solver_time,true,true,true,true,false,false,false,false,true,false
12,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/12.smt2,1.04553,0.632626,0.632726,0.550204,0.580274,0.550204,sum_solver_time,true,true,true,true,false,true,true,true,true,true
14,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/14.smt2,1.20639,1.80325,1.74448,1.97856,1.94459,1.20639,slot_solver_time,false,false,false,false,true,false,false,false,false,false
18,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/18.smt2,650.013,80.8504,74.7353,79.5797,69.8641,69.8641,depthbothsides_solver_time,true,true,true,true,true,true,true,false,true,false
22,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/22.smt2,572.429,34.9997,32.0418,34.3458,41.4304,32.0418,maxchain_solver_time,true,true,true,true,true,true,false,false,false,true
26,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/26.smt2,126.166,44.5409,59.4814,56.6536,63.079,44.5409,depth_solver_time,true,true,true,true,false,false,false,true,false,true
33,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/33.smt2,54.449,165.519,191.003,171.807,195.089,54.449,slot_solver_time,false,false,false,false,false,false,false,true,false,true
35,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/35.smt2,32.6655,64.44,50.0243,59.6943,58.5782,32.6655,slot_solver_time,false,false,false,false,true,true,true,false,false,false
37,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/37.smt2,284.685,366.633,362.676,355.17,349.471,284.685,slot_solver_time,false,false,false,false,true,true,true,true,true,false
45,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/45.smt2,0.935036,0.940262,0.608819,1.14926,0.912259,0.608819,maxchain_solver_time,false,true,false,true,true,false,true,false,false,false
54,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/54.smt2,189.634,201.438,213.627,196.216,201.303,189.634,slot_solver_time,false,false,false,false,false,true,true,true,true,true
bin_eventlogadm_vc331203,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331203.smt2,11.2294,4.1765,6.49355,5.63651,3.50716,3.50716,depthbothsides_solver_time,true,true,true,true,false,false,true,true,true,false
bin_eventlogadm_vc331205,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331205.smt2,6.95968,9.18966,9.47413,9.79173,6.48027,6.48027,depthbothsides_solver_time,false,false,false,true,false,false,true,false,true,false
bin_eventlogadm_vc331206,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331206.smt2,3.63811,7.42818,5.19569,6.67536,8.25069,3.63811,slot_solver_time,false,false,false,false,true,true,false,false,false,true
bin_eventlogadm_vc351368,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351368.smt2,2.74733,9.09798,14.4744,9.38944,14.1138,2.74733,slot_solver_time,false,false,false,false,false,false,false,true,true,true
bin_eventlogadm_vc351388,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351388.smt2,2.62932,10.0293,6.21434,13.1631,13.4762,2.62932,slot_solver_time,false,false,false,false,true,false,false,false,false,true
bin_eventlogadm_vc352367,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc352367.smt2,4.62526,5.6822,4.74821,7.82703,9.92618,4.62526,slot_solver_time,false,false,false,false,true,false,false,false,false,true
bin_libsmbsharemodes_vc4818,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc4818.smt2,11.0829,6.5137,7.68485,7.85689,7.53876,6.5137,depth_solver_time,true,true,true,true,false,false,false,false,true,false
compose.s2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr3_paired.smt2,49.6064,6.36835,8.28346,6.53015,6.25605,6.25605,depthbothsides_solver_time,true,true,true,true,false,false,true,true,true,false
compose.s2._bit8_na6_nr4_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr4_paired.smt2,25.5123,15.5927,17.2458,19.9559,9.97451,9.97451,depthbothsides_solver_time,true,true,true,true,false,false,true,false,true,false
convert-jpg2gif-query-1180,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1180.smt2,0.88667,4.50528,4.92061,6.21711,8.05777,0.88667,slot_solver_time,false,false,false,false,false,false,false,false,false,true
convert-jpg2gif-query-1190,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1190.smt2,0.373078,2.42435,3.00632,3.18159,3.13062,0.373078,slot_solver_time,false,false,false,false,false,false,false,false,false,false
convert-jpg2gif-query-1347,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1347.smt2,0.433818,3.01407,2.98703,3.41628,2.43036,0.433818,slot_solver_time,false,false,false,false,true,false,true,false,true,false
convert-jpg2gif-query-1365,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1365.smt2,0.445233,2.91108,2.97567,2.45608,4.57449,0.445233,slot_solver_time,false,false,false,false,false,true,false,true,false,true
convert-jpg2gif-query-1402,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1402.smt2,0.52333,2.96208,3.20689,3.64588,3.41272,0.52333,slot_solver_time,false,false,false,false,false,false,false,false,false,false
convert-jpg2gif-query-1424,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1424.smt2,0.592408,2.99173,3.49132,3.02831,3.74761,0.592408,slot_solver_time,false,false,false,false,false,false,false,true,false,true
convert-jpg2gif-query-1462,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1462.smt2,0.474432,3.73675,3.13999,3.82437,3.6848,0.474432,slot_solver_time,false,false,false,false,true,false,true,false,false,false
convert-jpg2gif-query-1463,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1463.smt2,0.489385,3.65946,3.83145,3.90644,3.46101,0.489385,slot_solver_time,false,false,false,false,false,false,true,false,true,false
innd_innd_vc32481,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32481.smt2,1.01123,1.57096,1.86886,2.13198,2.25008,1.01123,slot_solver_time,false,false,false,false,false,false,false,false,false,true
innd_innd_vc32499,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32499.smt2,1.24045,1.90385,2.14428,2.45094,3.19837,1.24045,slot_solver_time,false,false,false,false,false,false,false,false,false,true
innd_innd_vc32635,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32635.smt2,1.30562,0.976034,0.943251,1.02472,1.03314,0.943251,maxchain_solver_time,true,true,true,true,true,false,false,false,false,true
innd_innd_vc32662,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32662.smt2,21.346,11.5418,10.1183,6.97542,12.3117,6.97542,sum_solver_time,true,true,true,true,true,true,false,true,false,true
innd_innd_vc32740,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32740.smt2,2.13499,2.02371,3.34516,2.52826,3.66606,2.02371,depth_solver_time,true,false,false,false,false,false,false,true,false,true
