benchmark,input,smt_to_ll_seconds,slot_generation_seconds,chain_generation_seconds,first_generation_seconds,last_generation_seconds,random_generation_seconds,all-bfs_generation_seconds,all-dfs_generation_seconds,slot_solver_time,chain_solver_time,first_solver_time,last_solver_time,random_solver_time,all-bfs_solver_time,all-dfs_solver_time,slot_total_seconds,chain_total_seconds,first_total_seconds,last_total_seconds,random_total_seconds,all-bfs_total_seconds,all-dfs_total_seconds
05,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/05.smt2,22.106,5.563,6.685,8.098,8.092,8.095,21.999,,41.2504,22.5324,155.131,82.0949,13.4026,77.6835,73.0946,68.9194,51.3234,185.335,112.293,43.6036,121.789,
113,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/113.smt2,28.975,27.297,26.865,33.564,33.355,33.442,35.638,,0.467148,0.364706,6.68439,3.91493,3.77549,5.03278,3.65394,56.7391,56.2047,69.2234,66.2449,66.1925,69.6458,
12,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/12.smt2,10.719,2.607,2.954,3.048,2.932,2.501,3.669,,1.04553,0.632626,3.98259,5.50023,2.48131,6.58471,4.6653,14.3715,14.3056,17.7496,19.1512,15.7013,20.9727,
14,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/14.smt2,18.531,8.044,9.222,11.14,10.855,11.122,15.583,,1.20639,1.80325,9.17601,4.583,5.01228,5.77785,5.31676,27.7814,29.5563,38.847,33.969,34.6653,39.8918,
18,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/18.smt2,28.859,9.497,10.907,12.73,12.684,13.207,28.858,,650.013,80.8504,212.644,147.77,60.9159,70.811,46.5954,688.369,120.616,254.233,189.313,102.982,128.528,
22,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/22.smt2,28.871,10.005,10.807,13.243,12.534,12.642,28.758,,572.429,34.9997,227.243,340.868,126.534,272.661,536.625,611.305,74.6777,269.357,382.273,168.047,330.29,
26,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/26.smt2,22.17,5.612,6.758,7.659,7.531,8.034,21.938,,126.166,44.5409,37.0162,46.1414,19.6293,13.139,28.706,153.948,73.4689,66.8452,75.8424,49.8333,57.247,
33,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/33.smt2,21.665,9.133,9.948,11.384,11.814,11.321,23.394,,54.449,165.519,51.8698,5.17823,2.8278,14.8608,18.5946,85.247,197.132,84.9188,38.6572,35.8138,59.9198,
35,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/35.smt2,28.421,13.455,15.156,17.505,18.252,18.427,33.463,,32.6655,64.44,66.3431,18.5983,12.4052,52.9977,28.7435,74.5415,108.017,112.269,65.2713,59.2532,114.882,
37,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/37.smt2,29.078,11.823,12.558,13.19,13.186,13.18,23.961,,284.685,366.633,187.036,274.136,117.362,62.9654,243.564,325.586,408.269,229.304,316.4,159.62,116.004,
45,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/45.smt2,13.53,4.74,5.272,5.437,5.349,5.525,8.049,,0.935036,0.940262,5.28219,5.99854,5.6722,5.10566,7.12216,19.205,19.7423,24.2492,24.8775,24.7272,26.6847,
54,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/54.smt2,31.722,11.123,12.745,11.943,12.479,12.568,24.489,,189.634,201.438,305.01,10.9602,44.2632,49.8963,103.035,232.479,245.905,348.675,55.1612,88.5532,106.107,
bin_eventlogadm_vc331203,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331203.smt2,10.965,0.232,1.606,0.773,0.89,0.786,251.722,,11.2294,4.1765,3.80651,7.6317,5.81791,17.537,9.60408,22.4264,16.7475,15.5445,19.4867,17.5689,280.224,
bin_eventlogadm_vc331205,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331205.smt2,11.389,0.234,1.672,0.792,0.887,0.911,435.782,,6.95968,9.18966,2.93626,2.80795,2.95345,8.47926,9.17685,18.5827,22.2507,15.1173,15.084,15.2534,455.65,
bin_eventlogadm_vc331206,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331206.smt2,10.076,0.232,1.638,0.737,0.848,0.832,198.216,,3.63811,7.42818,2.13623,2.32916,3.0924,7.4634,8.88855,13.9461,19.1422,12.9492,13.2532,14.0004,215.755,
bin_eventlogadm_vc351368,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351368.smt2,20.758,0.386,3.343,1.392,1.362,1.397,,,2.74733,9.09798,1.44352,1.53525,13.8822,23.4971,19.5121,23.8913,33.199,23.5935,23.6552,36.0372,,
bin_eventlogadm_vc351388,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351388.smt2,24.277,0.426,3.766,1.519,1.441,1.522,,,2.62932,10.0293,2.53735,2.42289,26.6436,39.4485,34.7431,27.3323,38.0723,28.3334,28.1409,52.4426,,
bin_eventlogadm_vc352367,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc352367.smt2,20.685,0.416,3.783,1.511,1.37,1.506,,,4.62526,5.6822,1.53211,0.996261,16.1833,18.8978,13.5757,25.7263,30.1502,23.7281,23.0513,38.3743,,
bin_libsmbsharemodes_vc4818,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc4818.smt2,24.857,0.453,4.042,1.627,1.469,1.574,,,11.0829,6.5137,0.835921,0.580915,5.89992,8.22942,8.21875,36.3929,35.4127,27.3199,26.9069,32.3309,,
compose.s2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr3_paired.smt2,53.804,0.19,3.563,0.888,0.842,0.896,,,49.6064,6.36835,8.20206,4.90133,10.1003,13.2277,19.3549,103.6,63.7354,62.8941,59.5473,64.8003,,
compose.s2._bit8_na6_nr4_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr4_paired.smt2,80.079,0.252,5.933,1.241,0.983,1.238,,,25.5123,15.5927,7.70138,12.157,16.6546,24.6285,23.6722,105.843,101.605,89.0214,93.219,97.9716,,
convert-jpg2gif-query-1180,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1180.smt2,20.928,0.527,2.088,1.939,1.785,1.91,4.196,,0.88667,4.50528,1.40608,0.671626,1.06796,0.687663,1.11753,22.3417,27.5213,24.2731,23.3846,23.906,25.8117,
convert-jpg2gif-query-1190,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1190.smt2,22.232,0.574,2.299,2.102,1.941,2.052,4.483,,0.373078,2.42435,0.629452,0.898721,0.958076,0.973208,1.10616,23.1791,26.9553,24.9635,25.0717,25.2421,27.6882,
